,id,senten
0,0,연말 시상식
1,1,
2,2,
3,3,
4,4,
5,5,
6,6,
7,7,여니 공방 상 받았어요 정말 열 일하긴 했나 봐요 내년엔 더 빡세게 해볼게요
8,8,여성 유투 시연대 연말 시상회에서 우당탕탕 가 최우수상을 받았습니다 기획해주시고 투표해주신 소속 유투 번 선생님들 너무 감사합니다 앞으로도 계속 연대하며 좋은 콘텐츠 만들겠습니다
9,9,
10,10,카드 디어
11,11,년 인천미술 대전 최우수 수상 아쉽게도 코로나로 전시회는 취소되었어요 내년에도 고민을 좀 해서 신중 있게 만들어보려 합니다 요즘 통나무에 꽂혀 나무만 보면 멈춰 유심히 보게 되네요
12,12,약속은 지키라고 배웠습니다 감사합니다 그리고 앞으로 더 열심히 춤추고 효도하며 살리 남으로 살겠습니다
13,13,년 올해 최다 대출 등 종합시험 때문에 시상식 참여는 못했지만 감사합니다 카톡으로 선물이라면서 보내준 캡처 독서 왕밤에 빵 터져서 엄청 웃었다 졸업하고도 기억에 남을 즐거운 추억이 될듯하다
14,14,
15,15,
16,16,
17,17,코로나 단계 이전 철저한 방역수칙을 준수한 사진 조심스레 올려봅니다 자랑스러운 브로
18,18,우리 딸 상 받아왔네 최우수상 등 최고의 크리스마스 선물 기말고사 과목점 전체에서 문제만 틀렸네 엄마 아빠 도움 없이 혼자 공부해서 잘했다 기특한 우리 딸
19,19,우리 공주 공식적인 첫 상 그림대회에서 최우수상 받았다고 그림 들고 올 적에는 긴가민가 했는데 트로피랑 상장 가져오니 실감이 난다 이런 맛에 자식을 키우는 걸까 넘나 기특하다 자랑스럽다 우리 공주 항상 노력하고 최선을 다하는 우리 딸이 되길
20,20,
21,21,코로나 때문에 시상식도 못하고 전시도 못했지만 내 딸 생애 처음 상장 등 상이라고 얼마나 좋아하던지
22,22,달서구 청년 동아리 지역 활동 공모전 최우수상 수상 크리스마스이브에 기분 좋은 소식이 생겨 어깨를 들어 썩 들썩거리며 글을 쓰고 있는 새 새벽 책방입니다 새 새벽 책방이 이번 달서구에서 진행하는 청년 동아리 지역 활동 공모전에서 최우수상을 받았습니다 흑흑 나 울어 그렇지만 이번에도 기분 좋으니 한 번 더 돌게요 좋아요 기뻐요 너무 좋아서 좌로 돌고 우로 돌고 왔다 갔다 박수도 짝짝짝 좋아요 기뻐요 너무 좋아서 좌로 돌고 우로 돌고 왔다 갔다 박수도 짝짝짝 벌써 내일이면 크리스마스네요 이번 크리스마스는 어디 가지는 못하지만 그래도 집에서 즐겁게 지내시길 바라면서 저희는 다음에 좋은 소식으로 다시 찾아올게요
23,23,연도 온라인 댄스스포츠 대회 일반부 수상작 라틴 부문 위 이동훈 김현영 이번 온라인 대회의
24,24,
25,25,
26,26,뉴스로 인한 의도치 않은 자취방 공개
27,27,올해 만 번째 쓴 광고 기획서 이번 경쟁은 그 언제보다 힘들었고 어떤 브랜드보다 정말 많이 어려웠고 올에 년이 광고 기획서 쓰는 것만으로 지나갔기에 너무나도 지겨웠으며 그렇기에 정말 포기하고 싶었던 적이 한두 번이 아니었지만 이것만 끝내면 내가 또 성장해 있길 바라면서 수정한 번 한 번을 울면서 진행했다 그 눈물에 그리고 그 노력에 보상받은 오늘은 너무 행복하 다이제 당분간은 광고 기획서 끝
28,28,
29,29,최우수상정은재어린이꾸준히미술학원보내서가르치는보람이있고만저트로피에맥주각인디은재엄니술상차려놓으시요
30,30,
31,31,
32,32,연도 온라인 댄스스포츠 대회 고등부 수상작 스탠더드 부문 대상권 형근 이번 온라인 대회의
33,33,너무 값진 결과였다고 생한 보람 있어
34,34,네오
35,35,꺄악 우리 제희 교내 대회에서 피아노 독주 등 제의치는 걸 본 다른 참가자 아이들이 나는 틀렸어라고 말했다는 소문이 역시 최고다잉
36,36,
37,37,
38,38,전쟁 제 년 국민 서포터스 해단식 월일 유튜브 나라사랑 생중계를 통한 국민 서포터스 해단식이 진행됐습니다 표창 수상자를 대표하여 방역수칙 준수하게 현장에서 해단식에 참여할 수 있었습니다 월부터 월까지 다양한 콘텐츠 제작에 도전하여 국민들에게 전쟁의 교훈과 평화의 중요성을 전달했습니다 이번 활동을 통해 이 땅의 자유와 평화를 위해 싸운 영웅들을 더욱 존경하게 됐습니다 최우수상 수상자로 선정해주신 위원회 그리고 함께 활동한 모든 서포터스 여러분께 감사의 말씀을 드립니다 앞으로도 많은 이들이 전쟁과 참전용사에 관심을 갖고 기억할 수 있도록 노력하겠습니다
39,39,달서구는
40,40,
41,41,
42,42,드디어기다리고기다리던최종수상작발표날영광의수상자를지금바로발표하겠습니다두구두구대상팀기타포레최우수상팀진주은리본둥이들우수상팀구각노리앤틱문장현주이서원장려상팀윤익형트리오나무가모인숲밴드어쩌다가미소주택일년후에양성열인기상팀지찬영은빛기타김웅진행복아파트맨숲오카리나앙상블커플맨투맨정말축하드립니다노래악기밴드춤합창연극등등여러분들이보내주신다양한문화예술영상을보면서넘치는흥과열정을찐하게느꼈던시간이었어요다시한번축하드리며수상팀의영상은주민참여공연홈페이지에서보실수있습니다프로필링크로꼬우최종수상작까지발표되었지만저희인스타그램은아직끝나지않았어요할말이얼마나많다규요주민참여공연소식과재밌는이벤트도계속진행되니많은관심부탁드려요
43,43,상 받았 시옷 재탕 아니 옷 시옷이 가 막 태어난 년
44,44,군포시 산본시장은 국립농산물품질관리원이 선정한 원산지 관리 최우수 시장으로 선정되었습니다 앞으로도 정확한 원산지 가격 표시는 필수로 상인들과 더욱더 노력하겠습니다 감사합니다
45,45,너무 잘 놀았고 모두에게 너무 많은 걸 받은 거 같네요
46,46,전국 다문화 가족 말하기 대회
47,47,다시또한번축하시청에서연락옴상장과상금받으러오라구원래는시장님께받아야하지만코로나로인해패쑤그래도좋으닥입상작전시수수당진시청로비층
48,48,
49,49,년도온라인댄스스포츠대회초등부수상작스탠다드부문대상허찬혁허가인최우수상김태겸이번온라인대회의멋지고귀여운
50,50,
51,51,
52,52,지난달 신화 환경 진대회 상장이 드디어 도착했어요 세종 충남지역 대상 전국 최우수상을 수상했답니다 올 한 해 잘한 일 중 하나가 대회 참가한 일이네요
53,53,
54,54,
55,55,
56,56,희 님 최우수상 축하해요 리얼리티 부문 최우수상
57,57,
58,58,
59,59,연예대상
60,60,
61,61,연예대상 현장포토 최우수상 리얼리티
62,62,
63,63,하하 오빠 쇼 버라이어티 최우수상 받은 거 축하하고 항상 열심히 하는 하동훈이 되길 바랄게요 오빠의 시국에 열심히 해줘서 고마워요 그리고 사랑해요
64,64,년 연예대상 최우수상 쇼 버라이어티 우리 하하 오빠 축하해요 진심으로 축하드립니다 오빠 최고야 항상 응원하게 요
65,65,연예대상 현장포토 최우수상 쇼 버라이어티
66,66,축하드립니다 올해도 수고 많으셨습니다
67,67,
68,68,리딩게이트 하반기 독서왕 도전일 동안 꾸준히 열심히 한 이도 언 정말 칭찬해 상반기엔 성실상 이번 하반기엔 최우수상
69,69,문헌정보학과 학생들이 미세먼지 빅데이터 활용 경진대회에서 최우수상을 수상했다는 소식입니다
70,70,
71,71,하은이 그림 전시회에 다녀왔어요 전국학생미술 대제전에서 최우수상을 받은 우리 하은 이번 심사에 학년 대상 후보까지 간 작품이라고 해요 협회 회장님께서 직접 평가도 해주시고 꿈도 꼭 이루라며 사인도 해주셔서 하은이는 폴짝폴짝 뛰며 꼭 꿈을 이루겠다며 스스로 다짐하는 귀여운 울 공주랍니다
72,72,
73,73,
74,74,
75,75,갑작스러운 기쁨 흔한 소재인 나무젓가락으로 멋진 배 한 척 완성하였다고 선생님께서 칭찬을 스스로 생각하고 아이디어 내어서 만들더니 멋지다 초상권에는 심의가 아주 엄격한 데 이건 스스로 올리라고
76,76,
77,77,위더스총괄대전연간업적등최우수상을받게되었습니다열심히진정성과최선으로바쁘게보낸한해뜻하지않게코로나로힘든시기를보내고있지만늘그랬듯이이또한지나갈것임을알기에올해보다나은내년을위해더힘찬을맞이히기위해최선을다하겠습니다감사합니다
78,78,빡세게 연습시킨 보람 쓰
79,79,한자급 합격 더불어 백 점 만점 받아서 최우수상도 집에서 매일 자씩 열심히 한 보람이 급은 한국한자한문능력 개발원에서 급은 한자교육진흥회에서 시험을 본 결과 한국한자한문능력 개발원이 난이도 가다 높은 것 같다 선정한 자도 더 많이 나오고 고사 성어 획순 문제도 나와서 개인적으로 진흥회 급보다 능력 개발원이 더 어려운 듯 준급은 한국한자한문능력 개발원에서 봐야겠다 열심히 잘해준 우리 아들 축하하고 대견해
80,80,제회 국제친선 학생미술 대전 입상을 축하합니다 수상한 친구들 모두 축하해
81,81,상장 받아오면 너무 좋음 예전엔 이런 대회도 참관하고 했겠지 요즘은 국기원도 대회도 전부 온라인
82,82,코로나 덕에 호텔 시상식 취소 그래도
83,83,저 때 울었던 기억이
84,84,울겸둥이은결이가을시즌에서도최우수학생으로상받았네너무너무축하해은결아
85,85,소식디지털마케팅홍보영상공모전수상작을발표해협디지털마케팅홍보영상공모전에참여해주신모든분들께감사의인사를전해협올원늘도적금페이모아통장상품을개성이통통매력이철철넘치도록소개해주셨는데협오늘은올원늘도적금을재치있는상황극으로풀어낸시지지점강다연계장보대구영업본부윤연희주임님팀의영상을함께감상해보아협디지털마케팅홍보영상공모전수상작을매일편씩공개할예정이니많은관심부탁드려협금리기준일기준세전평일또는휴일에적금신규가입시우대금리가적용되오니가입시유의하시기바랍니다이예금은예금자보호법에따라예금보험공사가보호하되보호한도는본은행에있는귀하의모든예금보호대상금융상품의원금과소정의이자를합하여인당최고천만원이며천만원을초과하는나머지금액은보호하지않습니다기타자세한내용은해당상품약관및상품설명서를참조하시거나가까운농협은행영업점또는고객행복센터로문의하시기바랍니다준법감시인심의필
86,86,
87,87,다들 멋집니다
88,88,
89,89,
90,90,이걸 받네
91,91,수고했고 축하해 코로나로 힘든 한 해였는데도 불구하고 애썼네 덕분에 집에 꽃향기도 가득해졌어
92,92,이번 아이 되어 스 핸드메이드 어워드에서 클래스 카테고리별 최우수 작가 상을 수상했어요 수상 소식에 정말 깜짝 놀랐습니다 생방송 온라인 시상식으로 진행했습니다 아이 되어 스 유튜브에서 다시 보실 수 있으세요 연도 우수 작가 상에 이어 년에 최우수상을 수상하여 정말 영광이고 기뻤어요 더욱더 열심히 노력하는 솔메 공방이 되겠습니다 앞으로도 기대해 주세요 날이 많이 추워요 감기 조심하시고 따뜻한 저녁 보내세요 감사합니다
93,93,채점
94,94,방송작가 문예 창작예술계열 대한민국역사박물관 공모전 영상 부문 수상
